chunkId	rows
104199	540
154642	540
151254	548
161426	549
155997	552
155316	553
164134	554
158696	555
162096	556
145142	557
160068	557
159401	558
153964	560
149211	561
154633	561
154646	562
164136	562
150573	563
157354	564
160747	564
159390	565
89825	565
162774	566
163457	566
156681	566
150567	567
154629	568
155318	568
157352	568
156671	569
160069	569
156676	570
162782	570
83695	571
149219	571
156656	571
157351	571
158024	571
153286	572
158711	572
164829	572
153960	573
154644	573
151252	574
155313	574
156003	574
166178	574
154635	576
157349	576
160744	576
161418	576
93216	576
162093	577
164138	577
160732	577
160740	577
160748	577
156695	578
158029	578
91181	578
92542	578
162777	578
172957	578
163472	579
164137	579
156667	579
157343	579
159384	579
95259	579
157350	580
153287	581
155319	581
155994	581
156665	581
157358	581
158699	581
160761	581
93222	581
165479	582
149208	582
156001	582
159388	582
153961	583
160763	583
154627	584
88454	584
91188	584
163454	584
164135	585
152586	585
155982	585
156010	585
160062	585
160064	585
158714	586
161427	586
163458	586
163459	586
165508	586
167522	586
90496	586
149217	587
153285	587
154625	587
159383	587
160071	587
164141	587
166161	587
163460	588
169552	588
89136	588
91865	588
157339	588
158033	588
158034	588
159379	588
159391	588
148535	589
156663	589
158032	589
158708	589
162099	589
162778	589
164816	589
165517	589
170243	589
162097	590
163483	590
152607	590
89828	590
95946	590
98675	590
92547	591
164150	591
155317	591
156678	591
158722	591
143783	592
151922	592
152602	592
156005	592
157359	592
158028	592
150570	593
151247	593
152587	593
158726	593
160061	593
85056	593
87093	593
99347	593
164822	593
162080	594
164821	594
149893	594
85054	594
88475	594
91878	594
85734	595
91861	595
164823	595
151248	595
151249	595
153982	595
154641	595
159392	595
161424	595
144464	596
148538	596
149207	596
149209	596
153962	596
159385	596
160739	596
89835	596
92549	596
93225	596
93215	597
97303	597
153284	597
156664	597
158728	597
162780	597
162792	598
170907	598
175667	598
146485	598
157353	598
159376	598
149887	599
150576	599
154631	599
156002	599
158027	599
161449	599
169572	599
169547	600
170257	600
92538	600
152606	600
155995	600
156670	600
158026	600
159377	600
151921	601
151928	601
152609	601
153306	601
154645	601
155315	601
156658	601
158706	601
159381	601
160065	601
164820	601
85735	601
151233	602
151914	602
151916	602
151920	602
153966	602
156672	602
158698	602
159389	602
162801	602
163456	602
166843	602
163470	603
166184	603
166188	603
87092	603
93217	603
148537	603
149897	603
151251	603
153263	603
155986	603
155996	603
157346	603
160072	603
142420	604
147857	604
152611	604
155981	604
161422	604
161431	604
162108	604
86423	604
94577	604
95933	604
97995	604
80984	605
84385	605
92560	605
94583	605
144467	605
146492	605
149877	605
153942	605
158709	605
159408	605
164827	605
172281	605
166841	606
86416	606
90488	606
90494	606
91163	606
95956	606
99346	606
145823	606
150555	606
151250	606
152603	606
153959	606
158050	606
161430	606
150574	607
151927	607
156686	607
158710	607
164151	607
164808	607
165499	607
82339	607
90517	607
97993	607
98653	607
86409	608
89139	608
107473	608
149206	608
149214	608
149872	608
151932	608
152594	608
154623	608
156013	608
160059	608
161425	608
161428	608
151925	609
154626	609
155322	609
159375	609
159400	609
159403	609
160075	609
160764	609
161436	609
81657	609
81661	609
88450	609
104788	609
165489	609
166182	609
162776	610
163465	610
164825	610
168196	610
171584	610
153282	610
154640	610
155325	610
156655	610
156679	610
157341	610
159374	610
160060	610
160755	610
89143	610
91869	610
91877	610
93231	610
95251	610
95266	610
97984	610
85747	611
87768	611
91186	611
91848	611
92554	611
164139	611
146495	611
147181	611
147190	611
148520	611
151238	611
151253	611
152626	611
155331	611
156677	611
158697	611
158707	611
160063	611
160070	611
141070	612
145146	612
147835	612
151917	612
155989	612
158012	612
158035	612
158065	612
158705	612
158719	612
160742	612
161419	612
89834	612
92553	612
93220	612
102072	612
164819	612
166172	612
169558	612
170913	612
166162	613
168209	613
168874	613
146506	613
150572	613
151909	613
157348	613
158038	613
159394	613
161414	613
83708	613
